_runtime,_step,_timestamp,cumulative_pcs,depth/max,depth/mean,novelty/global_frontier,novelty/global_mean,novelty/group_mean,reward/max,reward/mean,reward/std,train/completion_length,train/epoch,train/global_step,train/grad_norm,train/kl,train/learning_rate,train/loss,train/reward,train/reward_std,train/rewards/reward_fn,valid_rate,verdict/accepted,verdict/crash,verdict/encode_fail,verdict/error,verdict/rejected
32.499416955,0,1780905223.9583802,,,,,,,,,,512,0.0001,1,0.48220762610435486,0,5e-06,-3.725290298461914e-08,0.2715107202529907,0.4092634916305542,0.2715107202529907,,,,,,
63.523051253,1,1780905254.9821618,4320,2649,1261.25,3132,0.1396397289807621,0.040258302160906916,1.326572743560277,0.27151073643659496,0.39626764704313067,512,0.0002,2,0.5086645483970642,0.006704364437609911,4.999833333333333e-06,0.0003351867198944092,0.2633034288883209,0.37955671548843384,0.2633034288883209,0.125,2,0,0,0,14
94.923287384,2,1780905286.382376,4326,2649,1262.1875,3141,0.09169846631791002,0.050776850015216354,1.282440026067281,0.2633034329106547,0.3675042106789946,512,0.0003,3,0.48250067234039307,0.005870451219379902,4.999666666666667e-06,0.0002934560179710388,0.33761560916900635,0.4389529824256897,0.33761560916900635,0.125,2,0,0,0,14
126.154232689,3,1780905317.6133518,4338,2649,1420.75,3153,0.08161905905539736,0.055687405757449265,1.2450219138130765,0.3376156365180477,0.42501441931935685,512,0.0004,4,0.5043443441390991,0.006578044034540653,4.9995e-06,0.0003291293978691101,0.12605464458465576,0.01276195328682661,0.12605464458465576,0.1875,3,0,0,0,13
157.438277996,4,1780905348.897398,4348,2649,1113.0625,3153,0,0,0.14541336353340883,0.12605464326160815,0.01235670802864592,512,0.0005,5,0.4815891683101654,0.00694658886641264,4.999333333333334e-06,0.00034734606742858887,0.19349560141563416,0.2506340444087982,0.19349560141563416,0,0,0,0,0,16
188.521837962,5,1780905379.9809086,4361,2649,1231.4375,3154,0.06376317357944483,0,1.1275263471588897,0.19349559488542606,0.24267535478471636,512,0.0006,6,0.5394396781921387,0.006356113124638796,4.999166666666667e-06,0.000317990779876709,0.12360560894012451,0.012775780633091927,0.12360560894012451,0.0625,1,0,0,0,15
219.475710292,6,1780905410.9347928,4380,2649,1091.4375,3154,0,0,0.14303510758776897,0.12360560588901472,0.012370096798026246,512,0.0007,7,0.6807733178138733,0.006618049927055836,4.999000000000001e-06,0.00033045560121536255,0.1236409917473793,0.012714765965938568,0.1236409917473793,0,0,0,0,0,16
250.740502055,7,1780905442.1995683,4387,2649,1091.75,3154,0,0,0.1434881087202718,0.1236409966024915,0.012311020732066299,512,0.0008,8,0.4555913507938385,0.007793149445205927,4.998833333333334e-06,0.00038962066173553467,0.19813692569732666,0.24798080325126648,0.19813692569732666,0,0,0,0,0,16
282.098484707,8,1780905473.5576088,4392,2649,1276.1875,3157,0.05961410237930611,0,1.1192282047586122,0.1981369270103238,0.24010637425712833,512,0.0009,9,0.6394006609916687,0.007997470907866955,4.9986666666666675e-06,0.00039934366941452026,0.12311013042926788,0.01125569362193346,0.12311013042926788,0.0625,1,0,0,0,15
313.459481794,9,1780905504.918619,4397,2649,1087.0625,3157,0,0,0.14428086070215174,0.12311013590033974,0.010898278161739354,512,0.001,10,0.47999680042266846,0.007432141806930304,4.9985000000000005e-06,0.0003720596432685852,0.12345696985721588,0.012746491469442844,0.12345696985721588,0,0,0,0,0,16
344.992769421,10,1780905536.4518325,4397,2649,1090.125,3157,0,0,0.14711211778029445,0.12345696489241223,0.01234173993558727,512,0.0011,11,0.5034995675086975,0.006750980857759714,4.998333333333334e-06,0.0003373175859451294,0.1326160728931427,0.03404432162642479,0.1326160728931427,0,0,0,0,0,16
376.625339436,11,1780905568.0844047,4404,2649,1171,3157,0,0,0.2520951302378256,0.13261608154020385,0.03296327454469106,512,0.0012,12,0.6530267000198364,0.007934125140309334,4.998166666666667e-06,0.00039654970169067383,0.12404444813728333,0.01261682529002428,0.12404444813728333,0,0,0,0,0,16
408.207398389,12,1780905599.666458,4404,2649,1095.3125,3157,0,0,0.14756511891279728,0.12404445073612684,0.012216191474286547,512,0.0013,13,0.6949211359024048,0.007883533835411072,4.998e-06,0.00039409101009368896,0.12119903415441513,0.011752170510590076,0.12119903415441513,0,0,0,0,0,16
439.725426646,13,1780905631.1844873,4404,2649,1070.1875,3157,0,0,0.14224235560588902,0.12119903737259342,0.011378992236759674,512,0.0014,14,0.47467344999313354,0.007452232763171196,4.997833333333334e-06,0.0003726258873939514,0.19084542989730835,0.26659515500068665,0.19084542989730835,0,0,0,0,0,16
471.180736219,14,1780905662.639848,4406,2678,1207.375,3204,0.09472457085521836,0,1.1894491417104367,0.19084542572583432,0.2581296373962704,512,0.0015,15,0.44082653522491455,0.008767561055719852,4.997666666666667e-06,0.00043842196464538574,0.19204196333885193,0.24413828551769257,0.19204196333885193,0.0625,1,0,0,0,15
502.844758243,15,1780905694.303836,4527,2678,1237.8125,3204,0.050973472197535175,0,1.1019469443950705,0.19204196035030804,0.23638588822852868,512,0.0016,16,0.6415814757347107,0.007114519365131855,4.997500000000001e-06,0.0003557354211807251,0.3202715218067169,0.4169923961162567,0.3202715218067169,0.0625,1,0,0,0,15
534.273947647,16,1780905725.7330225,4528,2678,1356.75,3207,0.05680250423037176,0.046152740505486047,1.1952885311433683,0.32027151221048095,0.4037511539966116,512,0.0017,17,0.5144249796867371,0.00725369481369853,4.997333333333334e-06,0.00036260485649108887,0.19193585216999054,0.2418583631515503,0.19193585216999054,0.1875,3,0,0,0,13
565.42562186,17,1780905756.8847485,4531,2678,1247.25,3207,0.0455317507975204,0,1.0910635015950407,0.19193586765476847,0.23417833605105656,512,0.0018,18,0.4920387864112854,0.007709214463829994,4.997166666666667e-06,0.00038546323776245117,0.32011133432388306,0.42020872235298157,0.32011133432388306,0.0625,1,0,0,0,15
596.662026644,18,1780905788.1211102,4536,2678,1360.9375,3217,0.05025070450718427,0.06587028766721488,1.2059520413449665,0.320111328676714,0.4068653227823338,512,0.0019,19,0.4433080554008484,0.007406873162835836,4.997000000000001e-06,0.00037035346031188965,0.1836855411529541,0.24099312722682953,0.1836855411529541,0.1875,3,0,0,0,13
627.909949065,19,1780905819.369071,4536,2678,1186.9375,3219,0.04321466503893584,0,1.0864293300778716,0.18368553365264517,0.23334057329548508,512,0.002,20,0.5193350911140442,0.0069413078017532825,4.9968333333333336e-06,0.00034653395414352417,0.12270817160606384,0.01185506209731102,0.12270817160606384,0.0625,1,0,0,0,15
659.414865828,20,1780905850.8739715,4536,2678,1095.375,3219,0,0,0.14182225541448842,0.1227081777445855,0.011478615204334389,512,0.0021,21,0.43789058923721313,0.007047392427921295,4.9966666666666665e-06,0.00035268068313598633,0.12380741536617279,0.012822906486690044,0.12380741536617279,0,0,0,0,0,16
691.012265922,21,1780905882.471365,4536,2678,1105.1875,3219,0,0,0.14238237490664674,0.12380741224794622,0.012415729168770224,512,0.0022,22,0.4091554582118988,0.007493920624256134,4.9965e-06,0.0003744363784790039,0.12485063076019287,0.01604214683175087,0.12485063076019287,0,0,0,0,0,16
722.659184604,22,1780905914.118287,4538,2678,1114.5,3219,0,0,0.16624346527259148,0.1248506348020911,0.015532740685206763,512,0.0023,23,2.069617986679077,0.0074413553811609745,4.996333333333333e-06,0.00037211179733276367,0.25809693336486816,0.34175777435302734,0.25809693336486816,0,0,0,0,0,16
753.927213754,23,1780905945.3863413,4538,2678,1339.3125,3219,0.03993712448255532,0.04843732148259952,1.1663895825043038,0.2580969186734021,0.33090554133724587,512,0.0024,24,0.5977174639701843,0.010037953965365887,4.996166666666667e-06,0.0005018711090087891,0.1925172209739685,0.23693828284740448,0.1925172209739685,0.125,2,0,0,0,14
785.128326772,24,1780905976.5874398,4539,2678,1269.5,3219,0.03606762740609334,0,1.0721352548121867,0.19251722863113882,0.2294145108436108,512,0.0025,25,0.40668442845344543,0.00820116139948368,4.996e-06,0.00040975213050842285,0.13143903017044067,0.03524473309516907,0.13143903017044067,0.0625,1,0,0,0,15
816.505587059,25,1780906007.9646757,4539,2678,1173.3125,3219,0,0,0.25463032113517553,0.13143904032860343,0.03412556951296472,512,0.0026,26,0.5055480599403381,0.008224948309361935,4.995833333333334e-06,0.0004110187292098999,0.12134988605976105,0.012061426416039467,0.12134988605976105,0,0,0,0,0,16
848.139911698,26,1780906039.5990148,4539,2678,1083.25,3219,0,0,0.1405899925317401,0.12134988797610156,0.011678424250697433,512,0.0027,27,0.398735910654068,0.007251959294080734,4.995666666666667e-06,0.0003625825047492981,0.2488706260919571,0.33299604058265686,0.2488706260919571,0,0,0,0,0,16
879.675478194,27,1780906071.1345544,4541,2678,1272.1875,3221,0.035927759404134646,0.02930363395485967,1.1198480203573464,0.24887062225073092,0.32242205020122616,512,0.0028,28,0.9210444092750549,0.008032947778701782,4.995500000000001e-06,0.0004016757011413574,0.18626105785369873,0.3945792317390442,0.18626105785369873,0.125,2,0,0,0,14
910.74320948,28,1780906102.2023335,4643,3833,1289.375,4362,0.33275736698530217,0,1.6655147339706042,0.18626105490655698,0.38204968688532065,512,0.0029,29,0.4137905538082123,0.007942887023091316,4.995333333333334e-06,0.00039712339639663696,0.21620480716228485,0.34986257553100586,0.21620480716228485,0.0625,1,0,0,0,15
941.849928679,29,1780906133.3089933,4644,3833,1267.8125,4384,0.03587375294045865,0.039889409362161996,1.145549609087228,0.21620481007457354,0.33875298769064155,512,0.003,30,0.6037883162498474,0.009069095365703106,4.995166666666667e-06,0.0004534795880317688,0.21683964133262634,0.35029080510139465,0.21683964133262634,0.125,2,0,0,0,14
973.042434177,30,1780906164.5015528,4645,3833,1289.125,4385,0.031221393183479176,0.051298617083786205,1.1338822359321437,0.21683964255891935,0.33916761788084254,512,0.0031,31,0.38152387738227844,0.006926017347723246,4.9950000000000005e-06,0.000346258282661438,0.14830121397972107,0.2412513941526413,0.14830121397972107,0.125,2,0,0,0,14
1004.222375954,31,1780906195.6814806,4645,3833,1189.375,4385,0.0262219585874164,0,1.0524439171748328,0.14830122512606206,0.2335906653211838,512,0.0032,32,0.426353394985199,0.009017262607812881,4.9948333333333334e-06,0.0004508793354034424,0.14823083579540253,0.2415083944797516,0.14823083579540253,0.0625,1,0,0,0,15
1035.427571281,32,1780906226.886698,4646,3833,1192.8125,4385,0.02648069597016605,0,1.052961391940332,0.14823084097487757,0.23383949363454581,512,0.0033,33,0.8495514392852783,0.00978170707821846,4.994666666666667e-06,0.0004891008138656616,0.1561153084039688,0.2510736882686615,0.1561153084039688,0.0625,1,0,0,0,15
1066.687768164,33,1780906258.1468902,4646,3833,1277.125,4385,0.046822305080990445,0,1.0936446101619808,0.1561153109631958,0.24310104833392687,512,0.0034,34,0.48428505659103394,0.009443474002182484,4.9945e-06,0.00047235190868377686,0.09311407804489136,0.024885492399334908,0.09311407804489136,0.0625,1,0,0,0,15
1098.28599933,34,1780906289.7451055,4646,3833,1189.6875,4385,0,0,0.18017218888599007,0.09311407513696843,0.02409527176855232,512,0.0035,35,0.5189204812049866,0.00924757868051529,4.994333333333334e-06,0.0004623979330062866,0.21489718556404114,0.34802699089050293,0.21489718556404114,0,0,0,0,0,16
1129.523313575,35,1780906320.9824295,4646,3833,1277.0625,4385,0.027539514061106135,0.05114514888473794,1.1096864146720102,0.21489718466174149,0.3369756849564399,512,0.0036,36,0.4063742160797119,0.010532586835324764,4.994166666666667e-06,0.00052662193775177,0.1468774378299713,0.2469051033258438,0.1468774378299713,0.125,2,0,0,0,14
1160.950650014,36,1780906352.4097428,4655,3833,1182.875,4394,0.03612048098925705,0,1.072240961978514,0.1468774394609908,0.23906483885479754,512,0.0037,37,0.4612189531326294,0.010926077142357826,4.994000000000001e-06,0.0005462914705276489,0.15086761116981506,0.24167940020561218,0.15086761116981506,0.0625,1,0,0,0,15
1192.055284977,37,1780906383.5144,4660,3833,1237.5,4394,0.028086163211754417,0,1.0561723264235088,0.1508676057784586,0.23400505429782759,512,0.0038,38,1.2864993810653687,0.011412516236305237,4.993833333333334e-06,0.0005707405507564545,0.0891028568148613,0.012916931882500648,0.0891028568148613,0.0625,1,0,0,0,15
1223.433959255,38,1780906414.8930454,4661,3833,1138.4375,4394,0,0,0.12530654839551264,0.08910285677015392,0.012506765827445067,512,0.0039,39,0.7493438124656677,0.010401205159723759,4.993666666666668e-06,0.0005201175808906555,0.16074642539024353,0.25323694944381714,0.16074642539024353,0,0,0,0,0,16
1254.590379449,39,1780906446.0494921,4667,3833,1350.1875,4400,0.05158573788747096,0,1.103171475774942,0.16074641707939852,0.245195635744259,512,0.004,40,0.4117541015148163,0.009108714759349823,4.9935000000000006e-06,0.0004553794860839844,0.28273826837539673,0.42357558012008667,0.28273826837539673,0.0625,1,0,0,0,15
1285.785932994,40,1780906477.245039,4672,3833,1342.375,4421,0.031832745119790805,0.07182226326499437,1.1880558696360708,0.2827382872024054,0.4101252734584731,512,0.0041,41,0.4855913519859314,0.010586262680590153,4.9933333333333335e-06,0.0005296766757965088,0.08601617813110352,0.008974224328994751,0.08601617813110352,0.1875,3,0,0,0,13
1317.376396151,41,1780906508.8354802,4672,3833,1099,4421,0,0,0.09908687711974955,0.086016175319593,0.008689254275352352,512,0.0042,42,0.5074635148048401,0.010058173909783363,4.993166666666667e-06,0.0005029886960983276,0.28325313329696655,0.42661961913108826,0.28325313329696655,0,0,0,0,0,16
1348.912253654,42,1780906540.3713806,4697,3833,1349.625,4446,0.03213614535209642,0.07847459309785361,1.1695692537109892,0.2832531048923776,0.41307270401568325,512,0.0043,43,0.4589950442314148,0.01070726104080677,4.993e-06,0.0005353093147277832,0.28070059418678284,0.4141518175601959,0.28070059418678284,0.1875,3,0,0,0,13
1380.493298143,43,1780906571.9523883,4711,3833,1369.25,4460,0.025707881486343846,0.06342084439182283,1.1455604485180741,0.2807005959445034,0.40100079274037775,512,0.0044,44,0.42873814702033997,0.010345915332436562,4.992833333333334e-06,0.0005172193050384521,0.20889535546302795,0.33639055490493774,0.20889535546302795,0.1875,3,0,0,0,13
